event-id,visible,timestamp,location-long,location-lat,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2549644574,true,2014-02-13 22:46:32.000,-52.51,-33.3,"-34.65:-53.55:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644575,true,2014-02-14 08:47:52.000,-52.51,-33.3,"-34.65:-53.55:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644576,true,2014-02-14 22:41:32.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644577,true,2014-02-15 08:49:32.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644578,true,2014-02-15 22:48:45.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644579,true,2014-02-16 08:46:59.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644580,true,2014-02-16 22:46:29.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644581,true,2014-02-17 08:48:11.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644582,true,2014-02-17 22:44:28.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644583,true,2014-02-18 08:47:10.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644584,true,2014-02-18 22:43:44.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644585,true,2014-02-19 08:52:05.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644586,true,2014-02-19 22:37:44.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644587,true,2014-02-20 08:55:09.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644588,true,2014-02-20 22:42:11.000,-52.51,-33.3,"-34.65:-53.31:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644589,true,2014-02-21 08:51:24.000,-52.51,-33.3,"-34.65:-53.31:-31.05:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644590,true,2014-02-21 22:39:49.000,-52.51,-33.3,"-34.65:-53.31:-30.15:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644591,true,2014-02-22 08:50:16.000,-52.51,-32.85,"-34.65:-53.07:-26.55:-49.43","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644592,true,2014-02-22 22:16:40.000,-50.33,-29.25,"-34.2:-52.8:-25.65:-49.02","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644593,true,2014-02-23 08:53:04.000,-50.11,-28.8,"-34.2:-52.8:-25.65:-48.88","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644594,true,2014-02-24 08:47:53.000,-50.03,-28.35,"-33.3:-52.2:-25.2:-48.88","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644595,true,2014-02-24 22:23:21.000,-50.03,-28.35,"-31.95:-50.76:-25.2:-48.88","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644596,true,2014-02-25 08:47:43.000,-50.01,-28.35,"-31.95:-50.68:-25.2:-48.73","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644597,true,2014-02-25 22:20:12.000,-49.99,-28.35,"-31.5:-50.62:-25.2:-48.73","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644598,true,2014-02-26 08:49:32.000,-49.93,-28.35,"-31.5:-50.62:-24.75:-48.73","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644599,true,2014-02-26 22:13:28.000,-49.93,-27.9,"-30.6:-50.64:-18.9:-48.73","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
